STDR_YYQU_CD,SUD_CD,RENT_FLOOR_CD,GTN_AVRG,MT_RNTCHRG_AVRG,CNVRSN_RNTCHRG,RENT_CO
20191,1123000664,00,429325,30053,34346,1
20191,1123000664,02,429325,30053,34346,1
20191,1123000666,00,3305800,148761,181819,1
20191,1123000666,02,3305800,148761,181819,1
20191,1123000669,00,166960,13913,15583,1
20191,1123000669,01,166960,13913,15583,1
20191,1123000671,00,623736,66532,72769,1
20191,1123000671,01,623736,66532,72769,1
20191,1123000677,00,1101933,55097,66116,1
20191,1123000677,02,1101933,55097,66116,1
20191,1123000679,00,500879,33392,38401,1
20191,1123000679,01,500879,33392,38401,1
20191,1123000681,00,893339,67000,75934,1
20191,1123000681,01,893339,67000,75934,1
20191,1123000687,00,3148381,209892,241376,1
20191,1123000687,01,3148381,209892,241376,1
20191,1123000689,00,1268893,70123,82812,2
20191,1123000689,01,2203867,110193,132232,1
20191,1123000689,02,333919,30053,33392,1
20191,1123000696,00,306831,33751,36820,1
20191,1123000696,01,306831,33751,36820,1
20191,1123000700,00,512527,46127,51253,1
20191,1123000700,01,512527,46127,51253,1
20191,1123000703,00,1227932,89970,102249,2
20191,1123000703,01,802963,64237,72267,1
20191,1123000703,02,1652900,115703,132232,1
20191,1123000708,00,1201637,64953,76970,1
20191,1123000708,01,1201637,64953,76970,1
20191,1123000715,00,440773,61582,65989,2
20191,1123000715,01,440773,61582,65989,2
20191,1123000717,00,1652900,66116,82645,1
20191,1123000717,01,1652900,66116,82645,1
20191,1123000720,00,5760106,266718,324319,2
20191,1123000720,01,11019333,495870,606063,1
20191,1123000720,02,500879,37566,42575,1
20191,1123000732,00,589915,70011,75910,2
20191,1123000732,01,739057,73906,81296,1
20191,1123000732,02,440773,66116,70524,1
20191,1123000736,00,1151107,42917,54428,2
20191,1123000736,01,1151107,42917,54428,2
20191,1123000739,00,3211073,8028,40138,1
20191,1123000739,01,3211073,8028,40138,1
20191,1123000740,00,782855,60211,68039,2
20191,1123000740,01,463777,43286,47924,1
20191,1123000740,02,1101933,77135,88155,1
20191,1123000741,00,918278,91828,101011,1
20191,1123000741,01,918278,91828,101011,1
20191,1123000746,00,499932,49993,54993,1
20191,1123000746,02,499932,49993,54993,1
20191,1123000747,00,873811,19224,27962,1
20191,1123000747,01,873811,19224,27962,1
20191,1123000748,00,601055,51591,57601,1
20191,1123000748,02,601055,51591,57601,1
20191,1123000749,00,2083312,141665,162498,1
20191,1123000749,01,2083312,141665,162498,1
20191,1123000751,00,500879,40070,45079,1
20191,1123000751,02,500879,40070,45079,1
20191,1123000753,00,500272,36270,41272,1
20191,1123000753,01,500272,36270,41272,1
20191,1123000754,00,2203867,99174,121213,1
20191,1123000754,01,2203867,99174,121213,1
20191,1123000758,00,1004441,98982,109026,2
20191,1123000758,01,1004441,98982,109026,2
20191,1123000762,00,585044,54242,60092,5
20191,1123000762,01,550967,49587,55097,1
20191,1123000762,02,619121,58896,65087,4
20191,1123000770,00,2078647,180316,201103,2
20191,1123000770,01,2504394,250439,275483,1
20191,1123000770,02,1652900,110193,126722,1
20191,1123000771,00,80708,16142,16949,1
20191,1123000771,02,80708,16142,16949,1
20191,1123000772,00,1652900,99174,115703,1
20191,1123000772,01,1652900,99174,115703,1
20191,1123000775,00,3966960,158678,198348,1
20191,1123000775,01,3966960,158678,198348,1
20191,1123000777,00,1502636,152668,167694,1
20191,1123000777,01,1502636,152668,167694,1
20191,1123000779,00,1315334,87529,100682,3
20191,1123000779,01,2129790,148345,169642,2
20191,1123000779,02,500879,26714,31722,1
20191,1123000788,00,349446,26774,30268,2
20191,1123000788,01,408552,24513,28599,1
20191,1123000788,02,290339,29034,31937,1
20191,1123000790,00,413225,41323,45455,1
20191,1123000790,02,413225,41323,45455,1
20191,1123000793,00,707375,62878,69952,1
20191,1123000793,01,707375,62878,69952,1
20191,1123000794,00,375659,37566,41323,1
20191,1123000794,01,375659,37566,41323,1
20191,1123000795,00,610069,56481,62581,3
20191,1123000795,01,610069,56481,62581,3
20191,1123000796,00,550967,82645,88155,1
20191,1123000796,01,550967,82645,88155,1
20191,1123000817,00,1983480,264464,284299,1
20191,1123000817,01,1983480,264464,284299,1
20191,1123000827,00,1437304,136544,150917,1
20191,1123000827,01,1437304,136544,150917,1
20191,1123000828,00,347979,52197,55677,1
20191,1123000828,01,347979,52197,55677,1
20191,1123000830,00,550967,110193,115703,1
20191,1123000830,01,550967,110193,115703,1
20191,1123000831,00,414642,38700,42846,1
20191,1123000831,02,414642,38700,42846,1
20191,1123000836,00,375107,44189,47940,2
20191,1123000836,01,333919,46749,50088,1
20191,1123000836,02,416295,41630,45792,1
20191,1123000837,00,250439,11270,13774,1
20191,1123000837,02,250439,11270,13774,1
20191,1123000851,00,905861,34576,43635,5
20191,1123000851,01,1611371,49118,65232,4
20191,1123000851,02,200352,20035,22039,1
20191,1123000869,00,500879,35062,40070,1
20191,1123000869,02,500879,35062,40070,1
20191,1123000873,00,1707614,112029,129105,3
20191,1123000873,01,1855888,118023,136582,2
20191,1123000873,02,1559340,106035,121628,1
20191,1123000887,00,1843394,80359,98793,3
20191,1123000887,01,2584854,105621,131470,2
20191,1123000887,02,1101933,55097,66116,1
20191,1123000896,00,975044,97504,107255,2
20191,1123000896,01,975044,97504,107255,2
20191,1123000897,00,230626,29981,32288,1
20191,1123000897,02,230626,29981,32288,1
20191,1123000900,00,1302285,57601,70624,2
20191,1123000900,01,2203867,82645,104684,1
20191,1123000900,02,400703,32557,36564,1
20191,1123000908,00,2306372,55737,78801,1
20191,1123000908,02,2306372,55737,78801,1
20191,1123000922,00,2571178,131008,156719,2
20191,1123000922,01,1836556,85706,104071,1
20191,1123000922,02,3305800,176309,209367,1
20191,1123000924,00,3581283,162535,198348,2
20191,1123000924,01,3581283,162535,198348,2
20191,1123000929,00,1136369,52342,63706,3
20191,1123000929,01,619838,49587,55785,2
20191,1123000929,02,1652900,55097,71626,1
20191,1123000930,00,5509667,484851,539947,1
20191,1123000930,01,5509667,484851,539947,1
20191,1123000934,00,510391,25520,30623,1
20191,1123000934,01,510391,25520,30623,1
20191,1123000935,00,2974449,190369,220113,2
20191,1123000935,01,1541166,90929,106340,1
20191,1123000935,02,4407733,289808,333886,1
20191,1123000938,00,1597620,92831,108807,3
