STDR_YYQU_CD,SUD_CD,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO,RELM_AR
20191,1123000188,23,12,11,0,5,4,6,5,3,0,2,4,2,2,2,0,3,0,4,3,1,10463.6082986
20191,1123000190,5,2,3,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,1,0,2,2329.28483175
20191,1123000192,65,18,47,0,15,15,17,15,3,0,4,3,5,4,2,0,11,12,12,11,1,13732.0907677
20191,1123000194,4,4,0,0,2,1,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,2892.15962561
20191,1123000196,9,6,3,0,1,4,1,3,0,0,1,3,1,1,0,0,0,1,0,2,0,4319.80429391
20191,1123000197,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1557.20047538
20191,1123000199,5,2,3,0,0,2,1,1,1,0,0,0,1,0,1,0,0,2,0,1,0,3765.81130832
20191,1123000200,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1061.90207105
20191,1123000203,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2573.41998702
20191,1123000204,22,14,8,0,3,4,4,6,5,0,1,3,3,2,5,0,2,1,1,4,0,4623.78894414
20191,1123000206,9,6,3,0,0,0,1,1,7,0,0,0,0,1,5,0,0,0,1,0,2,10040.5122401
20191,1123000211,172,115,57,1,7,34,59,29,42,0,5,15,40,24,31,1,2,19,19,5,11,9339.31922521
