STDR_YM_CD,SUD_CD,APT_HSMP_CO,AE_66_SQMT_BELO_HSHLD_CO,AE_66_SQMT_HSHLD_CO,AE_99_SQMT_HSHLD_CO,AE_132_SQMT_HSHLD_CO,AE_165_SQMT_HSHLD_CO,PC_1_HDMIL_BELO_HSHLD_CO,PC_1_HDMIL_HSHLD_CO,PC_2_HDMIL_HSHLD_CO,PC_3_HDMIL_HSHLD_CO,PC_4_HDMIL_HSHLD_CO,PC_5_HDMIL_HSHLD_CO,PC_6_HDMIL_ABOVE_HSHLD_CO,AVRG_AE,AVRG_MKTC
202212,1123001851,1,0,11,0,0,0,0,0,0,0,0,0,11,85,901090909.090909090909090909090909090909
202212,1123001853,1,4,2,0,0,0,0,2,4,0,0,0,0,53.33333333333333333333333333333333333333,194833333.333333333333333333333333333333
202212,1123001855,1,11,0,0,0,0,0,0,0,0,0,0,11,60,792090909.090909090909090909090909090909
202212,1123001856,1,0,11,0,0,0,0,0,0,0,0,0,11,85,876454545.454545454545454545454545454545
202212,1123001857,1,0,6,5,0,0,0,0,0,0,0,8,3,95.18181818181818181818181818181818181818,594909090.909090909090909090909090909091
202212,1123001859,1,11,0,0,0,0,0,0,0,0,0,0,11,60,758909090.909090909090909090909090909091
202212,1123001861,1,0,11,0,0,0,0,0,0,0,0,0,11,85,901090909.090909090909090909090909090909
202212,1123001862,1,0,0,11,0,0,0,0,0,0,0,0,11,122,1029090909.090909090909090909090909090909
202212,1123001864,4,45,0,0,0,0,2,15,20,8,0,0,0,230.095454545454545454545454545454545455,1070236363.636363636363636363636363636364
202212,1123001865,1,0,11,0,0,0,0,0,0,0,0,0,11,85,923727272.727272727272727272727272727273
202212,1123001868,1,0,10,0,0,0,0,0,0,0,0,0,10,85,895200000
202212,1123001870,1,8,3,0,0,0,0,0,0,0,0,0,11,66.81818181818181818181818181818181818182,814818181.818181818181818181818181818182
202212,1123001873,1,0,0,11,0,0,0,0,0,0,0,0,11,122,1074545454.545454545454545454545454545455
202212,1123001874,1,11,0,0,0,0,0,0,0,0,0,0,11,60,759272727.272727272727272727272727272727
202212,1123001875,1,0,0,11,0,0,0,0,0,0,0,0,11,122,1029090909.090909090909090909090909090909
202212,1123001876,1,4,0,1,0,0,0,3,1,0,1,0,0,54.8,229800000
202212,1123001880,1,0,11,0,0,0,0,0,0,0,0,0,11,85,923727272.727272727272727272727272727273
202212,1123001881,1,0,11,0,0,0,0,0,0,0,0,0,11,85,890454545.454545454545454545454545454545
202212,1123001883,1,0,11,0,0,0,0,0,0,0,0,0,11,85,912181818.181818181818181818181818181818
202212,1123001884,1,0,11,0,0,0,0,0,0,0,0,0,11,85,923727272.727272727272727272727272727273
202212,1123001886,1,11,0,0,0,0,0,0,0,0,0,0,11,60,782000000
202212,1123001887,1,0,0,11,0,0,0,0,0,0,0,0,11,122,1029090909.090909090909090909090909090909
202212,1123001892,1,0,11,0,0,0,0,0,0,0,0,0,11,85,901090909.090909090909090909090909090909
202212,1123001893,1,0,11,0,0,0,0,0,0,0,0,0,11,85,890454545.454545454545454545454545454545
202212,1123001894,1,10,0,0,0,0,1,9,0,0,0,0,0,31.5,128020000
202212,1123001896,1,0,11,0,0,0,0,0,0,0,0,0,11,85,912545454.545454545454545454545454545455
202212,1123001900,1,0,11,0,0,0,0,0,0,0,0,0,11,85,923727272.727272727272727272727272727273
202212,1123001901,1,11,0,0,0,0,0,0,0,0,0,0,11,60,776727272.727272727272727272727272727273
202212,1123001902,1,11,0,0,0,0,0,0,0,0,0,0,11,60,774272727.272727272727272727272727272727
202212,1123001903,1,0,11,0,0,0,0,0,0,0,0,0,11,85,911727272.727272727272727272727272727273
202212,1123001911,4,37,7,1,0,1,0,1,0,35,6,3,1,435.666666666666666666666666666666666666,2387055555.555555555555555555555555555556
202212,1123001914,1,11,0,0,0,0,0,0,0,0,0,0,11,60,750909090.909090909090909090909090909091
202212,1123001915,1,0,5,6,0,0,0,0,0,0,0,0,11,105.181818181818181818181818181818181818,968727272.727272727272727272727272727273
202212,1123001916,1,4,7,0,0,0,0,0,0,0,0,0,11,75.90909090909090909090909090909090909091,848454545.454545454545454545454545454545
202212,1123001917,1,11,0,0,0,0,0,0,0,0,0,0,11,60,777545454.545454545454545454545454545455
202212,1123001918,1,3,3,0,0,0,0,0,0,3,3,0,0,62.5,421000000
202212,1123001920,1,4,7,0,0,0,0,0,0,0,0,0,11,75.90909090909090909090909090909090909091,848454545.454545454545454545454545454545
202212,1123001923,1,11,0,0,0,0,0,0,0,0,0,0,11,60,753000000
202212,1123001924,1,0,3,0,0,0,0,0,0,3,0,0,0,85,387000000
202212,1123001925,3,12,1,0,0,0,8,4,1,0,0,0,0,115.083333333333333333333333333333333333,287683333.333333333333333333333333333334
202212,1123001926,1,0,4,0,0,0,0,0,0,0,0,3,1,80,636750000
202212,1123001928,1,11,0,0,0,0,0,0,0,0,0,0,11,60,745363636.363636363636363636363636363636
202212,1123001931,1,0,3,0,0,0,0,0,3,0,0,0,0,66,247000000
202212,1123001933,1,0,0,12,0,0,0,0,0,0,0,0,12,113,768000000
202212,1123001936,1,12,0,0,0,0,0,0,0,0,0,12,0,55,576500000
202212,1123001940,1,0,12,0,0,0,0,0,0,0,0,0,12,80,678500000
202212,1123001946,1,6,1,0,0,0,0,0,6,0,1,0,0,54.85714285714285714285714285714285714286,258000000
202212,1123001947,1,12,0,0,0,0,11,1,0,0,0,0,0,13.75,69750000
202212,1123001948,1,0,2,0,0,0,0,0,0,2,0,0,0,74,305500000
202212,1123001954,1,0,0,12,0,0,0,0,0,0,0,0,12,113,786750000
202212,1123001955,1,0,12,0,0,0,0,0,0,0,0,0,12,80,665000000
202212,1123001958,1,5,1,0,0,0,0,3,2,1,0,0,0,43.5,210666666.666666666666666666666666666667
202212,1123001959,1,3,0,0,0,0,0,3,0,0,0,0,0,25,116333333.333333333333333333333333333333
202212,1123001961,1,12,0,0,0,0,0,0,0,0,0,12,0,55,577250000
202212,1123001967,1,6,0,0,0,0,0,6,0,0,0,0,0,25,128666666.666666666666666666666666666667
202212,1123001972,1,10,0,0,0,0,2,8,0,0,0,0,0,26.2,129780000
202212,1123001973,3,13,17,0,0,0,0,0,14,16,0,0,0,184.638888888888888888888888888888888889,859277777.777777777777777777777777777777
202212,1123001976,3,23,0,0,0,0,0,19,4,0,0,0,0,137.295454545454545454545454545454545455,507806818.181818181818181818181818181818
202212,1123001978,1,10,0,0,0,0,0,8,2,0,0,0,0,36.2,152000000
202212,1123001980,1,6,0,0,0,0,0,6,0,0,0,0,0,28.66666666666666666666666666666666666667,178666666.666666666666666666666666666667
202212,1123001986,1,12,0,0,0,0,12,0,0,0,0,0,0,15.66666666666666666666666666666666666667,80200000
202212,1123001990,6,44,6,0,0,0,6,34,10,0,0,0,0,305.952525252525252525252525252525252525,898577272.727272727272727272727272727273
202212,1123001995,4,37,0,0,0,0,3,29,5,0,0,0,0,145.527272727272727272727272727272727273,626780000
202212,1123001997,2,6,3,3,0,0,0,0,10,2,0,0,0,157.875,504000000
202212,1123001999,3,7,22,0,0,1,0,2,7,20,0,0,1,229.975,973566666.666666666666666666666666666667
202212,1123002002,3,31,0,0,0,0,13,18,0,0,0,0,0,74.83333333333333333333333333333333333333,393342045.454545454545454545454545454545
202212,1123002006,3,19,7,0,0,0,0,0,19,7,0,0,0,191.375,814800000
202212,1123002009,1,9,0,0,0,0,0,3,6,0,0,0,0,63.22222222222222222222222222222222222222,195111111.111111111111111111111111111111
202212,1123002011,2,19,0,0,0,0,10,9,0,0,0,0,0,59.81818181818181818181818181818181818182,205613636.363636363636363636363636363636
202212,1123002013,1,9,0,0,0,0,0,0,9,0,0,0,0,60.44444444444444444444444444444444444444,281111111.111111111111111111111111111111
202212,1123002014,2,13,5,0,0,0,0,6,11,1,0,0,0,106.779220779220779220779220779220779221,419779220.779220779220779220779220779221
202212,1123002021,3,6,18,0,0,0,0,2,22,0,0,0,0,207.125,681750000
202212,1123002023,1,7,2,0,0,0,0,1,8,0,0,0,0,62.44444444444444444444444444444444444444,207333333.333333333333333333333333333333
202212,1123002027,2,12,6,0,0,0,0,1,17,0,0,0,0,111.025,468900000
202212,1123002029,1,4,2,0,0,0,2,0,4,0,0,0,0,48.83333333333333333333333333333333333333,198033333.333333333333333333333333333333
202212,1123002031,5,45,2,0,0,0,11,24,12,0,0,0,0,190.914393939393939393939393939393939394,773746969.696969696969696969696969696969
202212,1123002033,3,21,7,0,0,0,0,14,14,0,0,0,0,161.5,574100000
202212,1123002036,1,11,0,0,0,0,0,9,2,0,0,0,0,33,205272727.272727272727272727272727272727
202212,1123002037,4,27,4,0,1,0,0,20,9,3,0,0,0,228.597727272727272727272727272727272727,800086363.636363636363636363636363636364
202212,1123002040,2,19,0,0,0,0,0,3,12,4,0,0,0,93.43333333333333333333333333333333333333,497233333.333333333333333333333333333333
