STDR_YM_CD,SUD_CD,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
202012,1123000631,1,,,,,,,,,,,,,,,,,,,
202012,1123000632,1,,,,,,1,,,,,,,,,,,,,
202012,1123000638,1,,,,,,,,,,,,,,,,,,,
202012,1123000639,2,,,,,,,,,,,,,,,,,,,1
202012,1123000642,5,,,,,1,,,,,,,,,1,,,,,1
202012,1123000647,2,1,,,,,,,,,,,,,,,,,,
202012,1123000649,1,,,,,,,,,,,,,,,,,,,
202012,1123000653,4,,1,,,,,,,,,,,,,,,,,
202012,1123000654,1,,,,,,,,,,,,,,,,,,,
202012,1123000656,1,,,,,1,,,,,,,,,,,,,,
202012,1123000659,1,,,,,,,,,,,,,,,,,,,
202012,1123000664,5,,,,,,,,,,,,,,,,,,,1
202012,1123000666,3,,,,,1,,,,,,,,,,,,,,1
202012,1123000672,3,,,,,,,,,,,,,,,,,,,2
202012,1123000674,1,,,,,,,1,,,,,,,,,,,,
202012,1123000675,12,,1,,1,1,,,,,,,,,,,,,,2
202012,1123000679,1,,,,,,,,,,,,,,,,,,,
202012,1123000681,4,,,,,1,,,,,,,,,,,,,,1
202012,1123000682,1,,,,,,,,,,,,,,,,,,,
202012,1123000685,1,,,,,,,,,,,,,,,,,,,
202012,1123000692,1,,,,,1,,,,,,,,,,,,,,
202012,1123000697,1,,,,,1,,,,,,,,,,,,,,
202012,1123000703,1,,,,,,,,,,,,,,,,,,,
202012,1123000706,1,,,,,,,,,,,,,,,,,,,1
202012,1123000714,1,,,,,,,,,,,,,,,,,,,
202012,1123000715,1,,,,,,,,,,,,,,,,,,,
202012,1123000720,4,1,,,,,,,,,,,,,,,,,,
202012,1123000727,3,,,,,,,,,,,,,,,,,,,
202012,1123000728,3,,,,,,,,,,,,,,,,,,,2
202012,1123000732,1,,,,,1,,,,,,,,,,,,,,
202012,1123000733,1,,,,,,,,,,,,,,,,,,,
202012,1123000734,1,,,,,,,,,,,,,,,,,,,
202012,1123000735,1,,,,,1,,,,,,,,,,,,,,
202012,1123000736,2,1,,,,,,,,,,,,,,,,,,
202012,1123000737,2,,,,1,,,,,,,,,,,,,,,1
202012,1123000739,1,,,,,,,,,,,,,,,,,,,1
202012,1123000746,2,,,,,,,,,,,,,,,,,,,
202012,1123000749,1,,,,,,,,,,,,,,,,,,,1
202012,1123000750,1,,,,,,,,,,,,,,,,,,,
202012,1123000751,2,,,,,,,,,,,,,,,,,,,1
202012,1123000754,1,,,,,,,,,,,,,,,,,,,
202012,1123000756,1,,1,,,,,,,,,,,,,,,,,
202012,1123000757,1,,,,,,,,,,,,,,,,,,,
202012,1123000761,3,,,,,,,,,,,,,,,,,,,2
202012,1123000762,2,,,,,,,,,,,,,,,,,,,
202012,1123000764,3,,,,,,,,,,,,,,,,,,,
202012,1123000765,1,,,,,,,,,,,,,,,,,,1,
202012,1123000767,2,,,,,,,,,,,,,,,,,,,
202012,1123000768,3,,,,,,,,,,,,,,1,,,,,
202012,1123000769,3,,,,,1,,,,,,,,,,,,,,
202012,1123000770,2,,,,,,,,,,,,,,,,,,,2
202012,1123000771,1,,,,,,,,,,,,,,1,,,,,
202012,1123000772,3,,,,,,,,,,,,,,,,,,,
202012,1123000775,2,,,,,1,,,,,,,,,,,,,,
202012,1123000776,1,,,,,,,,,,,,,,,,,,,
202012,1123000778,2,,,,,,,,,,,,,,,,,,,
202012,1123000783,5,1,,,,1,,,,,,,,,,,,,,
202012,1123000784,1,,,,,,,,,,,,,,,,,,,
202012,1123000792,2,,,,,,,,,,,,,,,,,,,
202012,1123000793,1,,,,,,,,,,,,,,,,,,,
202012,1123000795,1,,,,,,,,,,,,,,,,,,,
202012,1123000797,1,,,,,,,,,,,,,,,,,,,1
202012,1123000799,3,,,,,,,,1,1,,,,,,,,,,
202012,1123000804,6,,1,,,1,,,,,,,,,,,,,,1
202012,1123000805,1,,,,,,,,,,,,,,,,,,,1
202012,1123000810,2,,,,,,,,,,,,,,,,,,,2
202012,1123000813,2,,,,,,,,,,,,,,,,,,,1
202012,1123000821,1,,,,,,,,,,,,,,,,,,,
202012,1123000822,5,,,,,,,,,,,,,,,,,,,2
202012,1123000824,1,,,,,,,,,,,,,,,,,,,
202012,1123000830,3,,,,,,,,,,,,,,,,,,,
202012,1123000843,1,,,,,1,,,,,,,,,,,,,,
202012,1123000846,2,,,,1,,,,,,,,,,,,,,,1
202012,1123000851,2,,,,,,,,,,,,,,,,,,,
202012,1123000852,1,,1,,,,,,,,,,,,,,,,,
202012,1123000853,2,,,,,,,,,,,,,,,,,,,
202012,1123000855,1,,,,,,,,,,,,,,,,,,,1
202012,1123000857,1,,,,,,,,,,,,,,,,,,,
202012,1123000860,3,,,,,,1,,,,,,,,,,,,,
202012,1123000864,1,,,,,,,,,,,,,,,,,,,
202012,1123000871,2,,,,,,,,,,,,,,,,,,,1
202012,1123000873,2,,,,,,,,,,,,,,,,,,,1
202012,1123000875,1,,,,,,,,,,,,,,,,,,,1
202012,1123000877,1,,,,,,,,,,,,,,,,,,,
202012,1123000880,1,,,,,,,,,,,,,,,,,,,
202012,1123000883,1,,,,,,,,,,,,,,,,,,,
202012,1123000885,1,,,,,,,,,,,,,,,,,,,1
202012,1123000887,2,,,,,1,,,,,,,,,,,,,,
202012,1123000889,2,,,,,1,,,,,,,,,,,,,,
202012,1123000892,2,,,,,,,,,,,,,,,,,,,
202012,1123000903,1,,,,,,,,,,,,,,,,,,,
202012,1123000908,2,,,,,,,,,,,,,,,,,,,
202012,1123000918,1,,,,,,,,,,1,,,,,,,,,
202012,1123000919,2,,,,,,,,,,,,,,,,,,,
202012,1123000924,4,,,,,1,,,,,,,,,,,,,,
202012,1123000929,1,,,,,,,,,,,,,,,,,,,1
202012,1123000930,2,,,,,,,,,,,,,,,,,,,1
202012,1123000933,2,,,,,,,,,,,,,,,,,,,
202012,1123000934,1,,,,,,,,,,,,,,,,,,,1
202012,1123000935,2,,,,,,,,,,,,,,,,,,,1
202012,1123000938,5,,,,,1,,,,,,,,,,,,,,
202012,1123000942,2,,,,,1,,,,,,,,,,,,,,1
202012,1123000945,2,,,,,1,,,,,,,,,,,,,,
202012,1123000946,1,,,,,,,,,,,,,,,,,,,
202012,1123000949,1,,,,,,,,,,,,,,,,,,,1
202012,1123000952,4,1,1,,,,,,,,1,,,,,,,,,1
202012,1123000954,1,,,,,,,,,,,,,,,,,,,
202012,1123000958,1,,,,,,,,,,,,,,,,,,,
202012,1123000961,2,,,,,,,,,,,,,,,,,,,1
202012,1123000964,1,,,,,,,,,,,,,,,,,,,
202012,1123000969,1,,,,,,,,,,,,,,,,,,,
202012,1123000972,1,,,,,,,,,,1,,,,,,,,,
202012,1123000975,2,,,,,1,,,,,,,,,,,,,,
202012,1123000983,1,,,,,,,,,,,,,,,,,,,
202012,1123000985,4,,,,,,,,,,,,,,,,,,,
202012,1123000990,1,,,,,,,,,,,,,,,,,,,
202012,1123000995,3,1,,,,,,,,,,,,,,,,,,1
202012,1123001000,1,,,,,,,,,,,,,,,,,,,
202012,1123001005,2,,,,,1,,,,,,,,,,,,,,
202012,1123001011,1,,,,,,,,,,,,,,,,,,,1
202012,1123001014,1,,,,,,,,,,,,,,,,,,,1
202012,1123001022,15,1,,,,,,,,,10,,,,,,,,,4
202012,1123001023,1,1,,,,,,,,,,,,,,,,,,
202012,1123001029,1,,,,,,,,,,,,,,,,,,,
202012,1123001030,1,,,,,1,,,,,,,,,,,,,,
202012,1123001036,17,,,,,,,,,1,14,,,,,,,,,1
202012,1123001039,2,,,,,,,,,,,,,,,,,,1,
202012,1123001044,1,,,,,,,,,,,,,,,,,,,
202012,1123001047,1,,,,,,,,,,,,,,,,,,,1
202012,1123001048,2,,,,,1,,,,,,,,,,,,,,
202012,1123001051,7,1,,,,3,,,,,,,,,,,,,,
202012,1123001054,1,,,,,,,,,,,,,,,,,,,
202012,1123001057,2,,,,,,,,,,2,,,,,,,,,
202012,1123001070,2,,,,,,2,,,,,,,,,,,,,
202012,1123001088,1,,,,,,,,,,,,,,,,,,,1
202012,1123001089,5,,,,,,,,,1,,,,,,,,,,
202012,1123001092,2,,,,,,,,,,,,,,,,,,,2
202012,1123001100,1,,,,,,,,,,,,,,,,,,,1
202012,1123001115,1,,,,,,,,,,1,,,,,,,,,
202012,1123001144,2,,,,,,,,,,,,,,,,,,,
202012,1123001158,1,,,,,,,,,,,,,,,,,,,1
202012,1123001162,1,,,,,,,,,,,,,,,,,,,1
202012,1123001165,1,,,,,,,,,,,,,,,,,,,1
202012,1123001180,1,,,,,,1,,,,,,,,,,,,,
202012,1123001181,2,,,,,,,,,,,,,,,,,,,
202012,1123001184,1,,,,,,,,,,,,,,,,,,,
202012,1123001204,3,,,,,,,,,,,,,,,,,,,
202012,1123001206,1,,,,,,,,,,,,,,,,,,,
202012,1123001209,1,,,,,,,,,,,,,,,,,,,
202012,1123001211,1,,,,,,,,,,,,,,,,,,,
202012,1123001212,1,,,,,1,,,,,,,,,,,,,,
202012,1123001215,2,,,,,,,,,,,,,,,,,,,2
202012,1123001216,2,,,,,,,,,,,,,,,,,,,2
202012,1123001221,1,,,,,,,,,,,,,,,,,,,
202012,1123001248,1,,,,,,,,,,,,,,,,,,,
202012,1123001252,1,,,,,,,,,,,,,,,,,,,
202012,1123001255,5,,,,,,,,,,,,,,,,,,,5
202012,1123001256,1,,,,,,,,,,,,,,,,,,,
202012,1123001266,1,,,,,,,1,,,,,,,,,,,,
202012,1123001268,1,,,,,,,,,,,,,,,,,,,
202012,1123001272,1,,,,,,,,,,,,,,,,,,,
202012,1123001273,1,,,,,,,,,,,,,,,,,,1,
202012,1123001280,2,,,,,1,,,,,,,,,,,,,,
202012,1123001282,1,,,,,,,,,,,,,,,,,,,
202012,1123001284,2,,,,,,,,,,,,,,,,,,,
202012,1123001285,1,,,,,,,,,,,,,,,,,,,
202012,1123001286,4,,,,,2,,,,,,,,,,,,,,1
